IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
0,P12,,VCCADC,56.883,57.455,,,,,,,,,,,,,,,,,,,,
0,P13,,GNDADC,61.476,62.094,,,,,,,,,,,,,,,,,,,,
0,R12,,VREFN,61.759,62.380,,,,,,,,,,,,,,,,,,,,
0,T13,,VREFP,67.595,68.275,,,,,,,,,,,,,,,,,,,,
0,U12,,DXN,73.483,74.222,,,,,,,,,,,,,,,,,,,,
0,U13,,DXP,73.005,73.739,,,,,,,,,,,,,,,,,,,,
0,U7,,PUDC_B,74.704,75.454,,,,,,,,,,,,,,,,,,,,
0,W7,,POR_OVERRIDE,77.284,78.061,,,,,,,,,,,,,,,,,,,,
24,AE14,IOB_X0Y1,IO_L1N_AD15N_24,75.571,76.331,,,,,,,,,,,,,,,,,,,,
24,AE15,IOB_X0Y0,IO_L1P_AD15P_24,74.638,75.389,,,,,,,,,,,,,,,,,,,,
24,AH14,IOB_X0Y3,IO_L2N_AD14N_24,82.123,82.948,,,,,,,,,,,,,,,,,,,,
24,AG14,IOB_X0Y2,IO_L2P_AD14P_24,79.397,80.195,,,,,,,,,,,,,,,,,,,,
24,AH13,IOB_X0Y5,IO_L3N_AD13N_24,87.652,88.533,,,,,,,,,,,,,,,,,,,,
24,AG13,IOB_X0Y4,IO_L3P_AD13P_24,81.761,82.582,,,,,,,,,,,,,,,,,,,,
24,AF13,IOB_X0Y7,IO_L4N_AD12N_24,80.353,81.161,,,,,,,,,,,,,,,,,,,,
24,AE13,IOB_X0Y6,IO_L4P_AD12P_24,80.287,81.094,,,,,,,,,,,,,,,,,,,,
24,AD14,IOB_X0Y9,IO_L5N_HDGC_24,76.954,77.728,,,,,,,,,,,,,,,,,,,,
24,AD15,IOB_X0Y8,IO_L5P_HDGC_24,77.276,78.052,,,,,,,,,,,,,,,,,,,,
24,AC13,IOB_X0Y11,IO_L6N_HDGC_24,70.342,71.049,,,,,,,,,,,,,,,,,,,,
24,AC14,IOB_X0Y10,IO_L6P_HDGC_24,69.370,70.067,,,,,,,,,,,,,,,,,,,,
24,AB13,IOB_X0Y27,IO_L7N_HDGC_24,59.409,60.006,,,,,,,,,,,,,,,,,,,,
24,AA13,IOB_X0Y26,IO_L7P_HDGC_24,58.983,59.576,,,,,,,,,,,,,,,,,,,,
24,AB14,IOB_X0Y29,IO_L8N_HDGC_24,74.644,75.394,,,,,,,,,,,,,,,,,,,,
24,AB15,IOB_X0Y28,IO_L8P_HDGC_24,75.600,76.360,,,,,,,,,,,,,,,,,,,,
24,W13,IOB_X0Y31,IO_L9N_AD11N_24,58.488,59.076,,,,,,,,,,,,,,,,,,,,
24,W14,IOB_X0Y30,IO_L9P_AD11P_24,63.725,64.366,,,,,,,,,,,,,,,,,,,,
24,Y13,IOB_X0Y33,IO_L10N_AD10N_24,70.875,71.587,,,,,,,,,,,,,,,,,,,,
24,Y14,IOB_X0Y32,IO_L10P_AD10P_24,71.726,72.447,,,,,,,,,,,,,,,,,,,,
24,W11,IOB_X0Y35,IO_L11N_AD9N_24,50.987,51.499,,,,,,,,,,,,,,,,,,,,
24,W12,IOB_X0Y34,IO_L11P_AD9P_24,53.294,53.829,,,,,,,,,,,,,,,,,,,,
24,AA12,IOB_X0Y37,IO_L12N_AD8N_24,63.684,64.324,,,,,,,,,,,,,,,,,,,,
24,Y12,IOB_X0Y36,IO_L12P_AD8P_24,64.230,64.875,,,,,,,,,,,,,,,,,,,,
24,AA14,,VCCO_24,,,,,,,,,,,,,,,,,,,,VCCO_24,,
24,AD13,,VCCO_24,,,,,,,,,,,,,,,,,,,,VCCO_24,,
25,J10,IOB_X0Y53,IO_L1N_AD15N_25,74.079,74.823,,,,,,,,,,,,,,,,,,,,
25,J11,IOB_X0Y52,IO_L1P_AD15P_25,74.353,75.101,,,,,,,,,,,,,,,,,,,,
25,K12,IOB_X0Y55,IO_L2N_AD14N_25,90.728,91.640,,,,,,,,,,,,,,,,,,,,
25,K13,IOB_X0Y54,IO_L2P_AD14P_25,91.943,92.867,,,,,,,,,,,,,,,,,,,,
25,G10,IOB_X0Y57,IO_L3N_AD13N_25,80.263,81.070,,,,,,,,,,,,,,,,,,,,
25,H11,IOB_X0Y56,IO_L3P_AD13P_25,80.670,81.481,,,,,,,,,,,,,,,,,,,,
25,H12,IOB_X0Y59,IO_L4N_AD12N_25,80.279,81.086,,,,,,,,,,,,,,,,,,,,
25,J12,IOB_X0Y58,IO_L4P_AD12P_25,80.864,81.676,,,,,,,,,,,,,,,,,,,,
25,F10,IOB_X0Y61,IO_L5N_HDGC_25,92.468,93.398,,,,,,,,,,,,,,,,,,,,
25,G11,IOB_X0Y60,IO_L5P_HDGC_25,91.611,92.532,,,,,,,,,,,,,,,,,,,,
25,F11,IOB_X0Y63,IO_L6N_HDGC_25,81.398,82.216,,,,,,,,,,,,,,,,,,,,
25,F12,IOB_X0Y62,IO_L6P_HDGC_25,81.671,82.492,,,,,,,,,,,,,,,,,,,,
25,D10,IOB_X0Y79,IO_L7N_HDGC_25,93.579,94.519,,,,,,,,,,,,,,,,,,,,
25,E10,IOB_X0Y78,IO_L7P_HDGC_25,92.602,93.533,,,,,,,,,,,,,,,,,,,,
25,D11,IOB_X0Y81,IO_L8N_HDGC_25,96.225,97.192,,,,,,,,,,,,,,,,,,,,
25,E12,IOB_X0Y80,IO_L8P_HDGC_25,97.055,98.030,,,,,,,,,,,,,,,,,,,,
25,B10,IOB_X0Y83,IO_L9N_AD11N_25,102.690,103.722,,,,,,,,,,,,,,,,,,,,
25,C11,IOB_X0Y82,IO_L9P_AD11P_25,100.155,101.162,,,,,,,,,,,,,,,,,,,,
25,A10,IOB_X0Y85,IO_L10N_AD10N_25,108.640,109.731,,,,,,,,,,,,,,,,,,,,
25,B11,IOB_X0Y84,IO_L10P_AD10P_25,107.734,108.816,,,,,,,,,,,,,,,,,,,,
25,A11,IOB_X0Y87,IO_L11N_AD9N_25,106.912,107.987,,,,,,,,,,,,,,,,,,,,
25,A12,IOB_X0Y86,IO_L11P_AD9P_25,103.220,104.258,,,,,,,,,,,,,,,,,,,,
