IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
0,P12,,VCCADC,69.775,70.476,,,,,,,,,,,,,,,,,,,,
0,P13,,GNDADC,69.722,70.423,,,,,,,,,,,,,,,,,,,,
0,R12,,VREFN,72.642,73.372,,,,,,,,,,,,,,,,,,,,
0,T13,,VREFP,79.451,80.249,,,,,,,,,,,,,,,,,,,,
0,U12,,DXN,74.111,74.856,,,,,,,,,,,,,,,,,,,,
0,U13,,DXP,76.777,77.548,,,,,,,,,,,,,,,,,,,,
0,U7,,PUDC_B,67.439,68.117,,,,,,,,,,,,,,,,,,,,
0,W7,,POR_OVERRIDE,78.498,79.287,,,,,,,,,,,,,,,,,,,,
43,AH10,IOB_X0Y1,IO_L1N_AD11N_43,95.669,96.631,,,,,,,,,,,,,,,,,,,,
43,AG10,IOB_X0Y0,IO_L1P_AD11P_43,91.987,92.912,,,,,,,,,,,,,,,,,,,,
43,AG11,IOB_X0Y3,IO_L2N_AD10N_43,89.974,90.878,,,,,,,,,,,,,,,,,,,,
43,AF11,IOB_X0Y2,IO_L2P_AD10P_43,86.879,87.752,,,,,,,,,,,,,,,,,,,,
43,AH11,IOB_X0Y5,IO_L3N_AD9N_43,96.652,97.623,,,,,,,,,,,,,,,,,,,,
43,AH12,IOB_X0Y4,IO_L3P_AD9P_43,95.435,96.395,,,,,,,,,,,,,,,,,,,,
43,AF10,IOB_X0Y7,IO_L4N_AD8N_43,93.723,94.665,,,,,,,,,,,,,,,,,,,,
43,AE10,IOB_X0Y6,IO_L4P_AD8P_43,92.071,92.996,,,,,,,,,,,,,,,,,,,,
43,AF12,IOB_X0Y9,IO_L5N_HDGC_AD7N_43,96.694,97.666,,,,,,,,,,,,,,,,,,,,
43,AE12,IOB_X0Y8,IO_L5P_HDGC_AD7P_43,97.480,98.459,,,,,,,,,,,,,,,,,,,,
43,AD12,IOB_X0Y11,IO_L6N_HDGC_AD6N_43,88.162,89.048,,,,,,,,,,,,,,,,,,,,
43,AC12,IOB_X0Y10,IO_L6P_HDGC_AD6P_43,87.997,88.882,,,,,,,,,,,,,,,,,,,,
43,AD10,IOB_X0Y27,IO_L7N_HDGC_AD5N_43,96.997,97.971,,,,,,,,,,,,,,,,,,,,
43,AD11,IOB_X0Y26,IO_L7P_HDGC_AD5P_43,98.089,99.074,,,,,,,,,,,,,,,,,,,,
43,AC11,IOB_X0Y29,IO_L8N_HDGC_AD4N_43,74.931,75.684,,,,,,,,,,,,,,,,,,,,
43,AB11,IOB_X0Y28,IO_L8P_HDGC_AD4P_43,75.509,76.268,,,,,,,,,,,,,,,,,,,,
43,AA10,IOB_X0Y31,IO_L9N_AD3N_43,74.292,75.039,,,,,,,,,,,,,,,,,,,,
43,AA11,IOB_X0Y30,IO_L9P_AD3P_43,70.287,70.993,,,,,,,,,,,,,,,,,,,,
43,Y10,IOB_X0Y33,IO_L10N_AD2N_43,76.608,77.378,,,,,,,,,,,,,,,,,,,,
43,W10,IOB_X0Y32,IO_L10P_AD2P_43,77.905,78.688,,,,,,,,,,,,,,,,,,,,
43,AA8,IOB_X0Y35,IO_L11N_AD1N_43,88.892,89.786,,,,,,,,,,,,,,,,,,,,
43,Y9,IOB_X0Y34,IO_L11P_AD1P_43,81.745,82.566,,,,,,,,,,,,,,,,,,,,
43,AB9,IOB_X0Y37,IO_L12N_AD0N_43,90.812,91.725,,,,,,,,,,,,,,,,,,,,
43,AB10,IOB_X0Y36,IO_L12P_AD0P_43,86.323,87.191,,,,,,,,,,,,,,,,,,,,
43,AC10,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,,
43,AG12,,VCCO_43,,,,,,,,,,,,,,,,,,,,VCCO_43,,
44,AE14,IOB_X0Y53,IO_L1N_AD15N_44,87.001,87.875,,,,,,,,,,,,,,,,,,,,
44,AE15,IOB_X0Y52,IO_L1P_AD15P_44,87.031,87.905,,,,,,,,,,,,,,,,,,,,
44,AH14,IOB_X0Y55,IO_L2N_AD14N_44,110.661,111.773,,,,,,,,,,,,,,,,,,,,
44,AG14,IOB_X0Y54,IO_L2P_AD14P_44,114.378,115.527,,,,,,,,,,,,,,,,,,,,
44,AH13,IOB_X0Y57,IO_L3N_AD13N_44,104.329,105.377,,,,,,,,,,,,,,,,,,,,
44,AG13,IOB_X0Y56,IO_L3P_AD13P_44,102.896,103.930,,,,,,,,,,,,,,,,,,,,
44,AF13,IOB_X0Y59,IO_L4N_AD12N_44,95.350,96.309,,,,,,,,,,,,,,,,,,,,
44,AE13,IOB_X0Y58,IO_L4P_AD12P_44,97.995,98.980,,,,,,,,,,,,,,,,,,,,
44,AD14,IOB_X0Y61,IO_L5N_HDGC_44,95.032,95.987,,,,,,,,,,,,,,,,,,,,
44,AD15,IOB_X0Y60,IO_L5P_HDGC_44,95.666,96.627,,,,,,,,,,,,,,,,,,,,
44,AC13,IOB_X0Y63,IO_L6N_HDGC_44,86.479,87.348,,,,,,,,,,,,,,,,,,,,
44,AC14,IOB_X0Y62,IO_L6P_HDGC_44,87.105,87.981,,,,,,,,,,,,,,,,,,,,
44,AB13,IOB_X0Y79,IO_L7N_HDGC_44,80.469,81.277,,,,,,,,,,,,,,,,,,,,
44,AA13,IOB_X0Y78,IO_L7P_HDGC_44,79.641,80.442,,,,,,,,,,,,,,,,,,,,
44,AB14,IOB_X0Y81,IO_L8N_HDGC_44,68.691,69.381,,,,,,,,,,,,,,,,,,,,
44,AB15,IOB_X0Y80,IO_L8P_HDGC_44,68.207,68.892,,,,,,,,,,,,,,,,,,,,
44,W13,IOB_X0Y83,IO_L9N_AD11N_44,59.792,60.393,,,,,,,,,,,,,,,,,,,,
44,W14,IOB_X0Y82,IO_L9P_AD11P_44,57.540,58.118,,,,,,,,,,,,,,,,,,,,
44,Y13,IOB_X0Y85,IO_L10N_AD10N_44,73.326,74.063,,,,,,,,,,,,,,,,,,,,
44,Y14,IOB_X0Y84,IO_L10P_AD10P_44,66.750,67.420,,,,,,,,,,,,,,,,,,,,
44,W11,IOB_X0Y87,IO_L11N_AD9N_44,84.773,85.625,,,,,,,,,,,,,,,,,,,,
44,W12,IOB_X0Y86,IO_L11P_AD9P_44,83.068,83.903,,,,,,,,,,,,,,,,,,,,
44,AA12,IOB_X0Y89,IO_L12N_AD8N_44,73.274,74.011,,,,,,,,,,,,,,,,,,,,
44,Y12,IOB_X0Y88,IO_L12P_AD8P_44,68.350,69.037,,,,,,,,,,,,,,,,,,,,
44,AA14,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,,
44,AD13,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,,
45,J10,IOB_X0Y105,IO_L1N_AD15N_45,104.047,105.093,,,,,,,,,,,,,,,,,,,,
45,J11,IOB_X0Y104,IO_L1P_AD15P_45,95.090,96.045,,,,,,,,,,,,,,,,,,,,
45,K12,IOB_X0Y107,IO_L2N_AD14N_45,92.099,93.025,,,,,,,,,,,,,,,,,,,,
45,K13,IOB_X0Y106,IO_L2P_AD14P_45,103.090,104.126,,,,,,,,,,,,,,,,,,,,
45,G10,IOB_X0Y109,IO_L3N_AD13N_45,99.946,100.950,,,,,,,,,,,,,,,,,,,,
45,H11,IOB_X0Y108,IO_L3P_AD13P_45,96.055,97.020,,,,,,,,,,,,,,,,,,,,
45,H12,IOB_X0Y111,IO_L4N_AD12N_45,92.283,93.210,,,,,,,,,,,,,,,,,,,,
45,J12,IOB_X0Y110,IO_L4P_AD12P_45,96.704,97.676,,,,,,,,,,,,,,,,,,,,
45,F10,IOB_X0Y113,IO_L5N_HDGC_45,101.595,102.616,,,,,,,,,,,,,,,,,,,,
45,G11,IOB_X0Y112,IO_L5P_HDGC_45,101.321,102.340,,,,,,,,,,,,,,,,,,,,
45,F11,IOB_X0Y115,IO_L6N_HDGC_45,101.099,102.115,,,,,,,,,,,,,,,,,,,,
45,F12,IOB_X0Y114,IO_L6P_HDGC_45,100.614,101.626,,,,,,,,,,,,,,,,,,,,
45,D10,IOB_X0Y131,IO_L7N_HDGC_45,116.356,117.525,,,,,,,,,,,,,,,,,,,,
45,E10,IOB_X0Y130,IO_L7P_HDGC_45,116.624,117.796,,,,,,,,,,,,,,,,,,,,
45,D11,IOB_X0Y133,IO_L8N_HDGC_45,97.230,98.208,,,,,,,,,,,,,,,,,,,,
45,E12,IOB_X0Y132,IO_L8P_HDGC_45,96.739,97.711,,,,,,,,,,,,,,,,,,,,
45,B10,IOB_X0Y135,IO_L9N_AD11N_45,109.906,111.010,,,,,,,,,,,,,,,,,,,,
45,C11,IOB_X0Y134,IO_L9P_AD11P_45,109.407,110.507,,,,,,,,,,,,,,,,,,,,
45,A10,IOB_X0Y137,IO_L10N_AD10N_45,106.200,107.268,,,,,,,,,,,,,,,,,,,,
45,B11,IOB_X0Y136,IO_L10P_AD10P_45,98.351,99.340,,,,,,,,,,,,,,,,,,,,
45,A11,IOB_X0Y139,IO_L11N_AD9N_45,107.782,108.865,,,,,,,,,,,,,,,,,,,,
45,A12,IOB_X0Y138,IO_L11P_AD9P_45,101.509,102.529,,,,,,,,,,,,,,,,,,,,
45,C12,IOB_X0Y141,IO_L12N_AD8N_45,112.710,113.842,,,,,,,,,,,,,,,,,,,,
45,D12,IOB_X0Y140,IO_L12P_AD8P_45,115.803,116.967,,,,,,,,,,,,,,,,,,,,
45,B12,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,,
45,E11,,VCCO_45,,,,,,,,,,,,,,,,,,,,VCCO_45,,
46,A15,IOB_X0Y157,IO_L1N_AD11N_46,86.831,87.704,,,,,,,,,,,,,,,,,,,,
46,B15,IOB_X0Y156,IO_L1P_AD11P_46,84.298,85.145,,,,,,,,,,,,,,,,,,,,
46,A14,IOB_X0Y159,IO_L2N_AD10N_46,86.941,87.814,,,,,,,,,,,,,,,,,,,,
46,B14,IOB_X0Y158,IO_L2P_AD10P_46,84.527,85.377,,,,,,,,,,,,,,,,,,,,
